item,name_enus,when,pricemin,priceavg,pricemax,pricestart,priceend,quantityavg,quantitymin,quantitymax
152507,Akunda's Bite,2019-05-23,493,601,685,493,527,56189,27577,82514
152507,Akunda's Bite,2019-05-24,475,575,760,503,498,127828,42266,200820
152507,Akunda's Bite,2019-05-25,414,451,503,498,426,162141,131221,201511
152507,Akunda's Bite,2019-05-26,427,663,773,427,720,83787,32544,150766
152507,Akunda's Bite,2019-05-27,515,611,721,720,515,95297,57122,134033
152507,Akunda's Bite,2019-05-28,460,474,488,460,488,16359,10010,22707
152507,Akunda's Bite,2019-05-29,1015,1360,1808,1808,1015,70224,5725,185243
152510,Anchor Weed,2019-05-23,2495,2697,3407,3281,2547,26815,18338,31979
152510,Anchor Weed,2019-05-24,2538,3047,3812,2538,2832,23357,13867,37873
152510,Anchor Weed,2019-05-25,2482,2660,2831,2807,2544,25285,17866,33772
152510,Anchor Weed,2019-05-26,2375,2694,3762,2548,3683,15109,8681,25629
152510,Anchor Weed,2019-05-27,3174,3647,4273,3993,3174,11459,10062,13383
152510,Anchor Weed,2019-05-28,2487,2539,2591,2591,2487,14923,13313,16533
152510,Anchor Weed,2019-05-29,2486,2725,2971,2486,2741,24746,8304,41470
109076,Goblin Glider Kit,2019-05-23,793,841,870,868,793,3323,2051,4225
109076,Goblin Glider Kit,2019-05-24,682,837,1399,792,1399,2663,1278,3922
109076,Goblin Glider Kit,2019-05-25,1097,1191,1399,1399,1097,3374,1003,5559
109076,Goblin Glider Kit,2019-05-26,1049,1082,1097,1095,1053,6437,5081,7689
109076,Goblin Glider Kit,2019-05-27,1047,1052,1066,1050,1047,5765,4401,7489
109076,Goblin Glider Kit,2019-05-28,986,990,994,986,994,4962,4816,5107
109076,Goblin Glider Kit,2019-05-29,780,924,994,993,794,3472,1750,5563
152512,Monelite Ore,2019-05-23,748,836,944,944,832,40688,24703,50837
152512,Monelite Ore,2019-05-24,667,761,907,820,679,45180,15961,69056
152512,Monelite Ore,2019-05-25,688,890,1300,688,936,27685,13059,66186
152512,Monelite Ore,2019-05-26,694,835,936,936,837,63206,34803,90474
152512,Monelite Ore,2019-05-27,770,859,910,835,880,32314,18663,59620
152512,Monelite Ore,2019-05-28,710,727,744,744,710,36281,28766,43795
152512,Monelite Ore,2019-05-29,683,725,759,732,728,36483,18805,54624
152513,Platinum Ore,2019-05-23,2275,2502,2758,2758,2284,5493,3063,7642
152513,Platinum Ore,2019-05-24,2147,2372,2431,2280,2395,6749,3717,8987
152513,Platinum Ore,2019-05-25,2030,2317,2666,2403,2283,6875,4452,10911
152513,Platinum Ore,2019-05-26,1780,2330,2389,2381,2330,10719,8699,15030
152513,Platinum Ore,2019-05-27,2215,2288,2333,2330,2299,11796,9103,14476
152513,Platinum Ore,2019-05-28,2378,2402,2425,2425,2378,9717,9553,9881
152513,Platinum Ore,2019-05-29,2013,2213,2330,2330,2106,11510,10147,12314
152505,Riverbud,2019-05-23,463,492,521,521,503,203604,183485,234935
152505,Riverbud,2019-05-24,457,501,544,505,457,188270,159451,235516
152505,Riverbud,2019-05-25,448,498,593,453,473,145388,108665,173944
152505,Riverbud,2019-05-26,478,521,553,504,478,81809,54313,137521
152505,Riverbud,2019-05-27,497,599,1127,497,515,81431,50624,121110
152505,Riverbud,2019-05-28,537,562,586,537,586,119787,98439,141134
152505,Riverbud,2019-05-29,504,541,589,559,513,142688,61663,232815
152511,Sea Stalk,2019-05-23,504,547,567,560,564,82191,38207,101812
152511,Sea Stalk,2019-05-24,522,548,566,564,522,86105,70925,97973
152511,Sea Stalk,2019-05-25,524,561,661,530,612,77141,40245,93853
152511,Sea Stalk,2019-05-26,600,616,620,613,600,41826,28608,66056
152511,Sea Stalk,2019-05-27,567,597,617,598,617,38525,30424,42045
152511,Sea Stalk,2019-05-28,807,809,811,807,811,34289,33611,34967
152511,Sea Stalk,2019-05-29,681,741,809,792,681,55770,30430,88512
152509,Siren's Pollen,2019-05-23,1261,1389,1461,1261,1332,83288,43072,140932
152509,Siren's Pollen,2019-05-24,1026,1194,1331,1331,1026,128821,105718,160872
152509,Siren's Pollen,2019-05-25,987,1046,1123,1016,1095,90036,49368,142694
152509,Siren's Pollen,2019-05-26,1098,1535,1685,1098,1552,53833,36416,76100
152509,Siren's Pollen,2019-05-27,1382,1434,1550,1550,1382,72643,63381,81943
